year,c2f6,c6f14,nitrousOxide,c3f8,c7f16,methane,sf6,c4f10,c8f18,methylBromide,c4f8,carbonTetraChloride,methylChloride,c5f12,co2,nf3
65,0.0,0.0,267.282824331769,0.0,0.0,659.530015028526,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.423,0.0
66,0.0,0.0,267.282824331769,0.0,0.0,659.666029310731,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.428,0.0
67,0.0,0.0,267.282824331769,0.0,0.0,659.800010590566,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.43,0.0
68,0.0,0.0,267.282824331769,0.0,0.0,659.891036182915,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.433,0.0
69,0.0,0.0,267.282824331769,0.0,0.0,660.033010645619,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.437,0.0
70,0.0,0.0,267.282824331769,0.0,0.0,660.136034470558,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.436,0.0
71,0.0,0.0,267.282824331769,0.0,0.0,660.289020942587,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.437,0.0
72,0.0,0.0,267.282824331769,0.0,0.0,660.427012592387,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.437,0.0
73,0.0,0.0,267.282824331769,0.0,0.0,660.461997953596,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.445,0.0
74,0.0,0.0,267.282824331769,0.0,0.0,660.437071631328,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.452,0.0
75,0.0,0.0,267.282824331769,0.0,0.0,660.6779949713871,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.457,0.0
76,0.0,0.0,267.282824331769,0.0,0.0,660.778014935104,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.462,0.0
77,0.0,0.0,267.282824331769,0.0,0.0,660.7980310373069,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.461,0.0
78,0.0,0.0,267.282824331769,0.0,0.0,660.903021541885,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.46299999999997,0.0
79,0.0,0.0,267.282824331769,0.0,0.0,661.007015512622,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.472,0.0
80,0.0,0.0,267.282824331769,0.0,0.0,661.1140584066941,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.47700000000003,0.0
81,0.0,0.0,267.282824331769,0.0,0.0,661.385989036573,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.481,0.0
82,0.0,0.0,267.282824331769,0.0,0.0,661.4700373095179,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.487,0.0
83,0.0,0.0,267.282824331769,0.0,0.0,661.588014353794,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.48900000000003,0.0
84,0.0,0.0,267.282824331769,0.0,0.0,661.690021665987,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.497,0.0
85,0.0,0.0,267.282824331769,0.0,0.0,661.764016647541,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.505,0.0
86,0.0,0.0,267.282824331769,0.0,0.0,661.8210200410231,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.509,0.0
87,0.0,0.0,267.282824331769,0.0,0.0,661.883030116181,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.51599999999996,0.0
88,0.0,0.0,267.282824331769,0.0,0.0,661.9930066899431,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.52,0.0
89,0.0,0.0,267.282824331769,0.0,0.0,662.032036291934,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.528,0.0
90,0.0,0.0,267.282824331769,0.0,0.0,662.147008310939,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.536,0.0
91,0.0,0.0,267.282824331769,0.0,0.0,662.20703213651,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.541,0.0
92,0.0,0.0,267.282824331769,0.0,0.0,662.308008130849,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.55400000000003,0.0
93,0.0,0.0,267.282824331769,0.0,0.0,662.346024742407,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.56,0.0
94,0.0,0.0,267.282824331769,0.0,0.0,662.4020210929181,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.57099999999997,0.0
95,0.0,0.0,267.282824331769,0.0,0.0,662.481022307662,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.57099999999997,0.0
96,0.0,0.0,267.282824331769,0.0,0.0,662.5650223985521,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.579,0.0
97,0.0,0.0,267.282824331769,0.0,0.0,662.6610208755079,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.584,0.0
98,0.0,0.0,267.282824331769,0.0,0.0,662.751021949657,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.597,0.0
99,0.0,0.0,267.282824331769,0.0,0.0,662.845021346076,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.60900000000004,0.0
100,0.0,0.0,267.283050074856,0.0,0.0,662.933016863179,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.62,0.0
101,0.0,0.0,267.283050074856,0.0,0.0,662.993021834765,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.623,0.0
102,0.0,0.0,267.283050074856,0.0,0.0,663.071023694884,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.63,0.0
103,0.0,0.0,267.283050074856,0.0,0.0,663.156017453721,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.633,0.0
104,0.0,0.0,267.283050074856,0.0,0.0,663.234026787571,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.63599999999997,0.0
